HFSS Mesh Statistics
  Project:           Q4_mimo2x2_c0_v8_HIPOTESE
  Design:            HFSS_ENZ_Q4_mimo2x2_c0_v8
  Solution setup:    Setup_Q4_MIMO2X2
  Design variation:  altura_interna_wr28='7.1100000000000003mm' cavidade_area_plana='108mm2' cavidade_comprimento_interno_exploratorio='18mm' cavidade_largura_interna_exploratoria='6mm' chanfro='3mm' comprimento_total_eixo_y='27mm' corpo_altura_externa='11.109999999999999mm' corpo_comprimento_externo='36mm' corpo_largura_externa_exploratoria='9mm' degrau_altura='1mm' degrau_largura='9mm' espessura_fundo_exploratoria='3mm' espessura_parede_lateral='1mm' espessura_tampa='1mm' flange_comprimento_exploratorio='4mm' flange_largura='22.5mm' fr4_dimensao_x='3mm' fr4_dimensao_y='1.6499999999999999mm' fr4_epsilon_r_exploratorio='4.4000000000000004' fr4_tan_delta_exploratorio='0.02' frequencia_adaptativa='25.870000000000001GHz' frequencia_sweep_fim='27GHz' frequencia_sweep_inicio='25GHz' largura_interna_wr28='3.5600000000000001mm' parafuso_diametro_exploratorio='2mm' pino_diametro='1mm' pino_offset_x_exploratorio='2mm' pino_offset_y_exploratorio='1.325mm' plano_porta_y='-18mm' q4_branch_length='19.995624227766882mm' q4_external_port_y='-62.990154512475485mm' q4_frequency='25.870000000000001GHz' q4_input_length='19.995624227766882mm' q4_interpair_spacing='96mm' q4_junction_length='4.9989060569417205mm' q4_lambda_g='19.995624227766882mm' q4_pair_spacing='42mm' q4_wg_a_z='7.1100000000000003mm' q4_wg_b_x='3.5600000000000001mm' ranhura_comprimento='5.6600000000000001mm' ranhura_largura='0.80000000000000004mm' ranhura_passo_exploratorio='4mm'

Total number of mesh elements: 830889
                      |     Num Tets  | Min edge length  | Max edge length  | RMS edge length  |     Min tet vol  |     Max tet vol  |    Mean tet vol  |  Std Devn (vol)  |
Housing_Cavity_RAD_A1 |        19509  |        0.202387  |         10.4593  |         1.63927  |     0.000355332  |          14.335  |         0.20566  |        0.596476  |
    Cavity_Air_RAD_A1 |        42600  |        0.197933  |         1.34882  |        0.811554  |     0.000321374  |        0.151021  |       0.0289123  |       0.0242079  |
      FR4_Slab_RAD_A1 |        26575  |        0.169384  |         0.36948  |        0.291481  |     0.000249327  |      0.00406812  |      0.00132435  |     0.000458185  |
    Rod_PEC_NW_RAD_A1 |          597  |         0.29474  |         1.44218  |        0.828407  |     0.000734564  |       0.0550633  |      0.00911517  |      0.00736398  |
    Rod_PEC_NE_RAD_A1 |          579  |        0.333665  |         1.39686  |        0.881863  |     0.000350864  |       0.0730515  |      0.00939855  |        0.008415  |
    Rod_PEC_SW_RAD_A1 |          566  |          0.3466  |         1.34088  |        0.819224  |     0.000437861  |       0.0559623  |      0.00961441  |      0.00848862  |
    Rod_PEC_SE_RAD_A1 |          591  |        0.295912  |         1.41802  |        0.843049  |     0.000367862  |       0.0749097  |      0.00920771  |      0.00879568  |
   MountHole_L_RAD_A1 |          300  |        0.765367  |         6.66772  |          2.4136  |     0.000971001  |         1.62835  |        0.115417  |        0.184388  |
   MountHole_R_RAD_A1 |          322  |        0.765367  |         6.60493  |         2.44276  |     0.000971001  |          1.1403  |        0.107532  |        0.158333  |
    Cavity_Air_RAD_A2 |        42591  |         0.18449  |           1.347  |        0.810917  |     0.000236167  |        0.159241  |       0.0289184  |       0.0246854  |
      FR4_Slab_RAD_A2 |        26811  |        0.167535  |         0.38783  |         0.29085  |     0.000195321  |      0.00399308  |      0.00131269  |     0.000464119  |
Housing_Cavity_RAD_A2 |        19244  |        0.225484  |         6.51096  |         1.62584  |     0.000434724  |         14.4704  |        0.208491  |        0.604121  |
