"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTheta) []","dB(RealizedGainPhi) []"
25.87,0,0,-0.119271038043192,-56.7210637780066
25.87,0,2,-5.08187499283911,-43.0890635689794
25.87,0,4,-15.7409889728379,-42.7870624630442
25.87,0,6,-9.87001764252332,-39.146390727581
25.87,0,8,-36.2105740023131,-42.4565501707879
25.87,0,10,-24.5634461862962,-41.1365187331406
25.87,0,12,-8.00593480036338,-41.6611910900686
25.87,0,14,-2.45099995077371,-31.6340979560752
25.87,0,16,-6.29733345212969,-33.8525931705058
25.87,0,18,-17.5304858414196,-38.8039172412688
25.87,0,20,-7.04586834030191,-28.6179060144343
25.87,0,22,-11.2364534202034,-29.7489726933627
25.87,0,24,-30.8203689599843,-41.6155258183432
25.87,0,26,-21.9197063842548,-37.0486157639135
25.87,0,28,-9.76216767770305,-33.6187857193474
25.87,0,30,-7.78908298487454,-38.3156603311112
25.87,0,32,-15.4486932452079,-41.5568722838846
25.87,0,34,-13.5202528621548,-36.427942976041
25.87,0,36,-7.19044264633433,-32.4157815864257
25.87,0,38,-8.38842386339577,-30.0122508031857
25.87,0,40,-15.8417592900756,-32.8314554576428
25.87,0,42,-45.5462442627011,-46.4429893714515
25.87,0,44,-31.9231188987095,-44.6709111970701
25.87,0,46,-16.0090943427317,-38.9972270760633
25.87,0,48,-12.2399679072523,-35.0738015535644
25.87,0,50,-15.0339803378484,-37.312992481947
25.87,0,52,-30.6532970780279,-40.011929289812
25.87,0,54,-11.4212212873447,-29.950885377021
25.87,0,56,-7.38029485238114,-26.212975669027
25.87,0,58,-6.95341720620239,-25.6901954060984
25.87,0,60,-9.10535278801113,-27.6526551198004
25.87,0,62,-14.2086489871762,-32.2191077977357
25.87,0,64,-26.4900254978291,-40.681190100071
25.87,0,66,-25.3572420509672,-45.1517993970787
25.87,0,68,-20.2077227721002,-39.812950994801
25.87,0,70,-20.3048071066296,-38.1489739311608
25.87,0,72,-23.138075030377,-38.3240329193254
25.87,0,74,-29.2343727201995,-39.8194284204184
25.87,0,76,-46.1358810160168,-42.5666549551009
25.87,0,78,-33.2246916212984,-46.5982985048151
25.87,0,80,-28.8514647016638,-50.0751110686928
25.87,0,82,-27.2602759412852,-47.9281525651563
25.87,0,84,-26.7161450703517,-44.5135146641574
25.87,0,86,-26.5863997500489,-41.9998184954284
25.87,0,88,-26.5352041336577,-40.1777493750014
25.87,0,90,-26.3691534247915,-38.8399522917109
25.87,0,92,-25.9965021785586,-37.9286232572212
25.87,0,94,-25.4056819498883,-37.5107451547075
25.87,0,96,-24.6397981454957,-37.7629416180362
25.87,0,98,-23.7747863011081,-38.9299100647118
25.87,0,100,-22.9167191202494,-40.7252830385696
25.87,0,102,-22.2165727434131,-39.6956180671485
25.87,0,104,-21.8848315270024,-35.340988359888
25.87,0,106,-22.2046740198668,-31.6243042446733
25.87,0,108,-23.5880989992973,-29.2681250407046
25.87,0,110,-26.8030529733338,-28.3446045758863
25.87,0,112,-32.9877176498191,-29.265658461315
25.87,0,114,-29.8802177610198,-33.7369531903958
25.87,0,116,-23.9594057960391,-44.7998729791965
25.87,0,118,-20.8763418031348,-29.8179586516243
25.87,0,120,-19.5916527621898,-25.0607948246092
25.87,0,122,-19.9076125526348,-23.7094201465068
25.87,0,124,-22.2974847522856,-25.0168169330048
25.87,0,126,-28.7381843586769,-29.8053632611247
25.87,0,128,-37.6069752295126,-46.7300140758474
25.87,0,130,-27.5441349127065,-33.1844588087312
25.87,0,132,-25.5519612534221,-29.430796407485
25.87,0,134,-26.9177759475443,-30.5765710241413
25.87,0,136,-31.6359449482199,-37.0185932370251
25.87,0,138,-38.3130743692192,-48.2721461775081
25.87,0,140,-33.3738986661808,-34.3662388848683
25.87,0,142,-31.3648471043559,-29.2338081187955
25.87,0,144,-33.1209795421836,-29.2994680902255
25.87,0,146,-43.1794504519209,-39.6264164279374
25.87,0,148,-37.5336775845696,-32.2454141261233
25.87,0,150,-31.0600241778608,-27.3647421251358
25.87,0,152,-30.4570959867235,-29.9238117866924
25.87,0,154,-33.6114830381912,-40.9664875074254
25.87,0,156,-36.1485215151826,-54.4583916330393
25.87,0,158,-30.1053025684232,-31.635881431693
25.87,0,160,-28.3293980248292,-28.8405295883916
25.87,0,162,-34.4070147979321,-39.4691436880859
25.87,0,164,-35.4051339746297,-30.3116896233936
25.87,0,166,-28.5311061871599,-28.9984577986369
25.87,0,168,-30.3392484480299,-34.4726126413103
25.87,0,170,-39.3766363096485,-45.8493971817179
25.87,0,172,-39.9163616488631,-35.6817411359539
25.87,0,174,-30.7001006421924,-36.1259384749048
25.87,0,176,-32.117052114325,-49.6731452330509
25.87,0,178,-35.3113976844616,-46.5927885476929
25.87,0,180,-28.5563409983192,-56.6710801465757
