"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTheta) []","dB(RealizedGainPhi) []"
25.87,90,0,-56.7210637780067,-0.119271038043197
25.87,90,2,-58.2384645830715,-0.262870616045504
25.87,90,4,-56.2747034305608,-0.303242836231576
25.87,90,6,-53.5048803451911,-0.294097028324671
25.87,90,8,-51.9145821514969,-0.433628742117368
25.87,90,10,-51.04858807004,-0.773330360427309
25.87,90,12,-51.5488317966262,-1.11363250969836
25.87,90,14,-55.0010188776637,-1.24732095027208
25.87,90,16,-64.8937217605376,-1.27200573635525
25.87,90,18,-57.569927273031,-1.414778799384
25.87,90,20,-53.7571029706329,-1.66038997919055
25.87,90,22,-54.3020263809282,-1.75368676980433
25.87,90,24,-56.908590114335,-1.60780759855506
25.87,90,26,-55.6253412596337,-1.49462758181996
25.87,90,28,-52.6752154928274,-1.6719837168862
25.87,90,30,-51.7450848687656,-2.06595378514161
25.87,90,32,-53.3892313693247,-2.31335993559094
25.87,90,34,-57.7673473787901,-2.20929023095499
25.87,90,36,-53.6582894581481,-2.03075928099097
25.87,90,38,-48.1962512396263,-2.16226230165383
25.87,90,40,-45.6382652490797,-2.72300938529634
25.87,90,42,-45.179219897007,-3.49784853445835
25.87,90,44,-46.5582444834213,-4.04670890562653
25.87,90,46,-49.7570631292024,-4.15123484785043
25.87,90,48,-53.6796823292878,-4.10763087774721
25.87,90,50,-54.3821917075807,-4.32390754285956
25.87,90,52,-54.5888616707467,-4.9737166679676
25.87,90,54,-58.9088275681705,-5.95244329913728
25.87,90,56,-71.4882874658642,-6.87740228689538
25.87,90,58,-55.0234852778339,-7.28752593851622
25.87,90,60,-50.4408481640087,-7.15637318502792
25.87,90,62,-48.8699251129801,-6.89944118792206
25.87,90,64,-49.1630786562577,-6.87745252407061
25.87,90,66,-51.014782840985,-7.2370190115155
25.87,90,68,-54.3025889652508,-7.99234596307084
25.87,90,70,-58.1200253044696,-9.0896841242046
25.87,90,72,-59.3118655708099,-10.4173677497203
25.87,90,74,-58.535859674587,-11.7844073559823
25.87,90,76,-58.3582284899736,-12.923913542933
25.87,90,78,-58.8079113336128,-13.614067520342
25.87,90,80,-59.1693873071766,-13.8569354761012
25.87,90,82,-59.0814561773887,-13.8508278494537
25.87,90,84,-58.8365147672277,-13.7953799214497
25.87,90,86,-58.6888981913231,-13.7897660342376
25.87,90,88,-58.5222273090116,-13.844872025645
25.87,90,90,-58.1535007664091,-13.9267958359517
25.87,90,92,-57.7348301759768,-13.9997364622028
25.87,90,94,-57.7024487464515,-14.0606741885088
25.87,90,96,-58.5218741986746,-14.1550205128415
25.87,90,98,-60.6768404436672,-14.3691815133395
25.87,90,100,-64.6321974816494,-14.8135126091301
25.87,90,102,-67.5321600407237,-15.6145965696424
25.87,90,104,-64.7201103909819,-16.9291825557971
25.87,90,106,-62.6343814526033,-18.9945281377131
25.87,90,108,-60.2449261303976,-22.2563524469522
25.87,90,110,-55.5359582376799,-27.4132552254728
25.87,90,112,-51.0696191622935,-28.8404597783143
25.87,90,114,-47.9948147580768,-23.1078185073242
25.87,90,116,-46.351316643265,-19.1391726573242
25.87,90,118,-46.1431179890184,-16.6350296247539
25.87,90,120,-47.5550063259371,-15.1505873320053
25.87,90,122,-51.1440043749126,-14.5526107525702
25.87,90,124,-58.0612137729932,-14.8612247061128
25.87,90,126,-59.3448161599125,-16.1770894501766
25.87,90,128,-55.3914436741131,-18.6229872446877
25.87,90,130,-54.408453106918,-22.191885036987
25.87,90,132,-54.0343313155935,-26.3059651212914
25.87,90,134,-53.1505912952416,-28.8843462114824
25.87,90,136,-52.7749767864784,-26.8215744771109
25.87,90,138,-53.466890578959,-23.3306226015202
25.87,90,140,-55.1328832442063,-21.383146157924
25.87,90,142,-57.3479357200669,-21.2774514931861
25.87,90,144,-54.1523139960578,-22.7112061687427
25.87,90,146,-48.6361170082468,-24.6247343911863
25.87,90,148,-45.4600798151284,-24.6487680570565
25.87,90,150,-44.5937395347583,-21.9882920873381
25.87,90,152,-45.9652436766656,-18.8885349354543
25.87,90,154,-49.045115841802,-16.808631874372
25.87,90,156,-49.3430233945461,-16.0339538432365
25.87,90,158,-47.2502826567123,-16.2932981424146
25.87,90,160,-47.2854038508953,-16.749011810682
25.87,90,162,-50.4295274138286,-16.5257292177505
25.87,90,164,-57.6950534015037,-16.0828722441767
25.87,90,166,-55.9124641761287,-16.3927379892932
25.87,90,168,-52.1453408553623,-17.8742716573518
25.87,90,170,-51.7419220747919,-20.3519208846114
25.87,90,172,-53.2028709758829,-22.8779255141501
25.87,90,174,-55.525315781553,-24.9141908200906
25.87,90,176,-57.5916343788578,-28.0424199330372
25.87,90,178,-57.9780352482214,-32.2935953653237
25.87,90,180,-56.6710801465756,-28.5563409983191
