"altura_interna_wr28 [mm]","cavidade_area_plana [mm2]","cavidade_comprimento_interno_exploratorio [mm]","cavidade_largura_interna_exploratoria [mm]","chanfro [mm]","comprimento_total_eixo_y [mm]","corpo_altura_externa [mm]","corpo_comprimento_externo [mm]","corpo_largura_externa_exploratoria [mm]","degrau_altura [mm]","degrau_largura [mm]","espessura_fundo_exploratoria [mm]","espessura_parede_lateral [mm]","espessura_tampa [mm]","flange_comprimento_exploratorio [mm]","flange_largura [mm]","fr4_dimensao_x [mm]","fr4_dimensao_y [mm]","fr4_epsilon_r_exploratorio []","fr4_tan_delta_exploratorio []","frequencia_adaptativa [GHz]","frequencia_sweep_fim [GHz]","frequencia_sweep_inicio [GHz]","largura_interna_wr28 [mm]","parafuso_diametro_exploratorio [mm]","pino_diametro [mm]","pino_offset_x_exploratorio [mm]","pino_offset_y_exploratorio [mm]","plano_porta_y [mm]","q4_branch_length [mm]","q4_external_port_y [mm]","q4_frequency [GHz]","q4_input_length [mm]","q4_interpair_spacing [mm]","q4_junction_length [mm]","q4_lambda_g [mm]","q4_pair_spacing [mm]","q4_wg_a_z [mm]","q4_wg_b_x [mm]","ranhura_comprimento [mm]","ranhura_largura [mm]","ranhura_passo_exploratorio [mm]","Freq [GHz]","dB(S(P1_WG_A,P1_WG_A)) []","dB(S(P1_WG_A,P2_WG_B)) []","dB(S(P2_WG_B,P1_WG_A)) []","dB(S(P2_WG_B,P2_WG_B)) []"
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25,-0.26217184540024,-72.4895128488861,-72.4895128488861,-0.258421882342953
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.025,-0.25272485394565,-72.7920930300457,-72.7920930300455,-0.248947420344709
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.05,-0.250749400069938,-72.9294529886045,-72.9294529886042,-0.246904327770074
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.075,-0.254666115825251,-72.9028303811129,-72.9028303811125,-0.250717824692448
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.1,-0.263421813389119,-72.7143097365393,-72.7143097365387,-0.259345006960915
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.125,-0.276364605749643,-72.3682629584435,-72.3682629584429,-0.272147484566068
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.15,-0.293163450604242,-71.873184124516,-71.8731841245154,-0.288809875860263
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.175,-0.313762192612118,-71.2434581389529,-71.2434581389525,-0.309293664314706
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.2,-0.338362547176363,-70.500501076713,-70.5005010767128,-0.333820571889903
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,25.225,-0.367434479940699,-69.6726356286882,-69.6726356286883,-0.36288379580574
