"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainCoPolar) []","dB(GainCrossPolar) []"
25.87,0,-180,-6.93038063005831,-34.0087699111791
25.87,0,-178,-7.09802508740471,-29.23350187328
25.87,0,-176,-7.54776440599681,-22.3715699102784
25.87,0,-174,-8.2081403121272,-18.8169817815984
25.87,0,-172,-8.99844267008387,-16.6826687940913
25.87,0,-170,-9.84921746266569,-15.3872542093345
25.87,0,-168,-10.7219059229804,-14.6638495722624
25.87,0,-166,-11.6207300019531,-14.3434878075719
25.87,0,-164,-12.5930900679982,-14.2838467749056
25.87,0,-162,-13.7136011593969,-14.3442002991316
25.87,0,-160,-15.046416576532,-14.3978284748164
25.87,0,-158,-16.5841429421541,-14.3787388798444
25.87,0,-156,-18.1628654612765,-14.3159324933623
25.87,0,-154,-19.3846532249955,-14.3023741014653
25.87,0,-152,-19.7370642383049,-14.4231024146889
25.87,0,-150,-19.0997418028492,-14.7010799135614
25.87,0,-148,-17.966683806569,-15.075795282116
25.87,0,-146,-16.9428214430733,-15.4088770827364
25.87,0,-144,-16.4084299205136,-15.5314572831065
25.87,0,-142,-16.5708171220506,-15.3372264394117
25.87,0,-140,-17.6003604476979,-14.8470590427137
25.87,0,-138,-19.7608922876153,-14.1745928856078
25.87,0,-136,-23.3298401016619,-13.451971870062
25.87,0,-134,-24.8782759276183,-12.7894254282094
25.87,0,-132,-19.9936758113378,-12.2595278641504
25.87,0,-130,-15.5188931430408,-11.8815945792757
25.87,0,-128,-12.2591610099831,-11.6089378874364
25.87,0,-126,-9.80924051145233,-11.339919343318
25.87,0,-124,-7.92380890991062,-10.9728498560092
25.87,0,-122,-6.47076432184823,-10.480366946005
25.87,0,-120,-5.37528875088786,-9.92817388664869
25.87,0,-118,-4.5883808495208,-9.41975887525467
25.87,0,-116,-4.06777608698859,-9.03631662463079
25.87,0,-114,-3.76616462813975,-8.81569164843616
25.87,0,-112,-3.62547664911049,-8.75754106986496
25.87,0,-110,-3.57815481239552,-8.83421103967937
25.87,0,-108,-3.55672558874986,-9.00049249047738
25.87,0,-106,-3.50935660041784,-9.20397895368138
25.87,0,-104,-3.41261615467582,-9.39822832600179
25.87,0,-102,-3.27176777276074,-9.55607667465314
25.87,0,-100,-3.10845592984499,-9.67597261160134
25.87,0,-98,-2.94523472137615,-9.77696460449316
25.87,0,-96,-2.7955085758705,-9.88626725172324
25.87,0,-94,-2.66067216941934,-10.0273931618251
25.87,0,-92,-2.53206534084488,-10.2134785094911
25.87,0,-90,-2.39508191981475,-10.4455528094776
25.87,0,-88,-2.23378788719678,-10.713563477931
25.87,0,-86,-2.03506181531116,-10.9984516853929
25.87,0,-84,-1.791451914107,-11.2746368275036
25.87,0,-82,-1.50211545329622,-11.5129725863413
25.87,0,-80,-1.17168068321011,-11.684452684635
25.87,0,-78,-0.807542527570941,-11.7647772989435
25.87,0,-76,-0.416654751118918,-11.7394297819931
25.87,0,-74,-0.0031405826279744,-11.6082449871728
25.87,0,-72,0.432010434384215,-11.3879038643781
25.87,0,-70,0.888435483690712,-11.1109837541636
25.87,0,-68,1.36169912644527,-10.8213885824932
25.87,0,-66,1.83883173954114,-10.5674300192384
25.87,0,-64,2.29728957745642,-10.3944278769717
25.87,0,-62,2.70886505072727,-10.3382417909608
25.87,0,-60,3.04709130784282,-10.420396865755
25.87,0,-58,3.29502200936232,-10.645216405287
25.87,0,-56,3.45079526434131,-10.9998479683429
25.87,0,-54,3.52958788027594,-11.4588263506803
25.87,0,-52,3.56100555101026,-11.9947080310545
25.87,0,-50,3.58103699291987,-12.5938780713967
25.87,0,-48,3.61928678690233,-13.2720278589104
25.87,0,-46,3.68624937759937,-14.0807616678494
25.87,0,-44,3.76856606062303,-15.0992444285241
25.87,0,-42,3.83688314624923,-16.4086087101682
25.87,0,-40,3.8624311928979,-18.0379261294356
25.87,0,-38,3.83343478680758,-19.8359574135493
25.87,0,-36,3.76416433053897,-21.2446660873735
25.87,0,-34,3.69301572573326,-21.4714518341287
25.87,0,-32,3.66897210890609,-20.5432135874311
25.87,0,-30,3.73113019073184,-19.1921751759846
25.87,0,-28,3.89292353413706,-17.8841114293738
25.87,0,-26,4.14163475050393,-16.7729950248766
25.87,0,-24,4.45132029826233,-15.9058689319396
25.87,0,-22,4.79731445749499,-15.3018411350245
25.87,0,-20,5.16340677662026,-14.963920762072
25.87,0,-18,5.54129207654805,-14.8770972578363
25.87,0,-16,5.9265151813785,-15.0120091200402
25.87,0,-14,6.31469436089738,-15.3399276237624
25.87,0,-12,6.69930251354435,-15.8541051308892
25.87,0,-10,7.07052033872404,-16.5842595179193
25.87,0,-8,7.41465381074158,-17.5992247862139
25.87,0,-6,7.71440159244155,-19.015460835872
25.87,0,-4,7.95049748987961,-21.0481991525778
25.87,0,-2,8.10465306116926,-24.1871268814923
25.87,0,0,8.16301102324173,-29.9573154580594
25.87,0,2,8.1191245755955,-41.1193117729173
25.87,0,4,7.97572711814054,-28.3551422326471
25.87,0,6,7.74481388464422,-22.9127438832477
25.87,0,8,7.44565835118762,-19.8301004037638
25.87,0,10,7.10068210743679,-17.8627397702822
25.87,0,12,6.73004900382643,-16.5430863918727
25.87,0,14,6.34716411470357,-15.625249168082
25.87,0,16,5.95756245124778,-14.9762598008197
25.87,0,18,5.56200903140827,-14.5505390276189
25.87,0,20,5.16217079972148,-14.3693966324536
25.87,0,22,4.7660909386593,-14.4914085817451
25.87,0,24,4.39122399326726,-14.9818287327012
25.87,0,26,4.06352278118356,-15.8862097307484
25.87,0,28,3.81137701838171,-17.2000763527225
25.87,0,30,3.6546815731175,-18.8032994820889
25.87,0,32,3.59343460420202,-20.301687530573
25.87,0,34,3.60376870376989,-20.9331936030997
25.87,0,36,3.6459567791493,-20.282875571709
25.87,0,38,3.68017979618755,-18.934567532303
25.87,0,40,3.68121938815229,-17.5563701692378
25.87,0,42,3.64590494266155,-16.3911772375612
25.87,0,44,3.5914240534632,-15.4449260259002
25.87,0,46,3.54507051708574,-14.6622006611887
25.87,0,48,3.52872774540841,-13.9929255530117
25.87,0,50,3.54534851935089,-13.3988578257344
25.87,0,52,3.5753155782268,-12.8480883126515
25.87,0,54,3.5841817351801,-12.3248836897348
