"altura_interna_wr28 [mm]","cavidade_area_plana [mm2]","cavidade_comprimento_interno_exploratorio [mm]","cavidade_largura_interna_exploratoria [mm]","chanfro [mm]","comprimento_total_eixo_y [mm]","corpo_altura_externa [mm]","corpo_comprimento_externo [mm]","corpo_largura_externa_exploratoria [mm]","degrau_altura [mm]","degrau_largura [mm]","espessura_fundo_exploratoria [mm]","espessura_parede_lateral [mm]","espessura_tampa [mm]","flange_comprimento_exploratorio [mm]","flange_largura [mm]","fr4_dimensao_x [mm]","fr4_dimensao_y [mm]","fr4_epsilon_r_exploratorio []","fr4_tan_delta_exploratorio []","frequencia_adaptativa [GHz]","frequencia_sweep_fim [GHz]","frequencia_sweep_inicio [GHz]","largura_interna_wr28 [mm]","parafuso_diametro_exploratorio [mm]","pino_diametro [mm]","pino_offset_x_exploratorio [mm]","pino_offset_y_exploratorio [mm]","plano_porta_y [mm]","ranhura_comprimento [mm]","ranhura_largura [mm]","ranhura_passo_exploratorio [mm]","Freq [GHz]","RadiationEfficiency []","TotalEfficiency []"
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25,1.01549097082616,0.470538516592497
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.125,1.02910828663575,0.575804079059607
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.25,1.0373197963996,0.658548750715493
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.375,1.04111074652679,0.691419631266835
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.5,1.04073634990752,0.666267440367186
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.625,1.03778375179718,0.596325729765545
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.75,1.03198340028436,0.500026083333062
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.875,1.02094152677903,0.389041277516791
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,26,0.998004869206196,0.268689684129527
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,26.25,0.684978348485375,0.0422586745516105
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,26.5,0.718759209390067,0.0647530197689903
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,26.625,0.93205461086042,0.230019471598415
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,26.75,0.991377424950674,0.435348271134937
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,27,1.02762254467948,0.767279520126999
