"Freq [GHz]","dB(S(P1_WR28_TE10,P1_WR28_TE10)) []"
25,-0.362316158303831
25.01,-0.37402464354946
25.02,-0.386130328601884
25.03,-0.398624791098285
25.04,-0.411497475671725
25.05,-0.42473554261447
25.06,-0.438323725918755
25.07,-0.452244204790026
25.08,-0.466476493119184
25.09,-0.480997351722767
25.1,-0.495780728385042
25.11,-0.510797730832614
25.12,-0.52601663770956
25.13,-0.541402952369394
25.14,-0.556919503833478
25.15,-0.572526598563964
25.16,-0.588182225752438
25.17,-0.60384231763427
25.18,-0.619461064918587
25.19,-0.634991285806308
25.2,-0.650384845302323
25.21,-0.665593119676938
25.22,-0.680567499074894
25.23,-0.695259919513406
25.24,-0.709623413880701
25.25,-0.723612670325897
25.26,-0.737184585388392
25.27,-0.750298798807039
25.28,-0.762918196915588
25.29,-0.775009372076286
25.3,-0.786543026658121
25.31,-0.797494311608462
25.32,-0.807843091628599
25.33,-0.817574131251716
25.34,-0.826677198621713
25.35,-0.835147086358348
25.36,-0.842983551438976
25.37,-0.850191178408329
25.38,-0.856779172337972
25.39,-0.862761089710195
25.4,-0.868154516738381
25.41,-0.872980705524967
25.42,-0.877264178896188
25.43,-0.881032314761351
25.44,-0.884314920466248
25.45,-0.88714380690482
25.46,-0.889552371188825
25.47,-0.891575195525755
25.48,-0.89324766869324
25.49,-0.89460563519102
25.5,-0.895685075859293
25.51,-0.896521822523359
25.52,-0.897151308097832
25.53,-0.897608352585019
25.54,-0.897926984548719
25.55,-0.898140296942206
25.56,-0.898280335617621
25.57,-0.898378018435567
25.58,-0.898463082616972
25.59,-0.898564057819786
25.6,-0.898708262364561
25.61,-0.898921820058986
25.62,-0.899229695165826
25.63,-0.899655743206423
25.64,-0.900222775479551
25.65,-0.90095263539111
25.66,-0.901866284924175
25.67,-0.902983899823249
25.68,-0.904324972315217
25.69,-0.905908420437704
25.7,-0.907752703290737
25.71,-0.909875941767757
25.72,-0.912296044557196
25.73,-0.915030839435959
25.74,-0.918098210103318
25.75,-0.921516239029804
25.76,-0.92530335702365
25.77,-0.929478500450871
25.78,-0.934061277288188
25.79,-0.939072143445603
25.8,-0.944532591072775
25.81,-0.95046535086647
25.82,-0.956894610732006
25.83,-0.963846253526973
25.84,-0.971348117039037
25.85,-0.979430279829526
25.86,-0.988125377120732
25.87,-0.997468951526421
25.88,-1.00749984413191
25.89,-1.01826063222977
25.9,-1.0297981209161
25.91,-1.04216389675019
25.92,-1.05541495276931
25.93,-1.0696143953056
25.94,-1.08483224422567
25.95,-1.10114633931484
25.96,-1.11864336640371
25.97,-1.13742001723006
25.98,-1.15758429652823
25.99,-1.17925698777936
26,-1.20257328438709
26.01,-1.22768458410749
26.02,-1.25476042876011
26.03,-1.28399054450467
26.04,-1.31558689392151
26.05,-1.34978557984529
26.06,-1.38684832689479
26.07,-1.4270630858817
26.08,-1.47074302166696
26.09,-1.51822269982836
26.1,-1.56984959636059
26.11,-1.62596799268276
26.12,-1.68689071150943
26.13,-1.75285177714756
26.14,-1.82392972253664
26.15,-1.89992684036255
26.16,-1.98018467101596
26.17,-2.06331242591017
26.18,-2.14680824849605
26.19,-2.22657505518044
26.2,-2.2963942769581
26.21,-2.34754833201287
26.22,-2.36897893667884
26.23,-2.34853950892095
26.24,-2.27577108219885
26.25,-2.14585063371253
26.26,-1.96304785752587
26.27,-1.74133335611959
26.28,-1.50105234893326
26.29,-1.26322108404061
26.3,-1.0444881081707
26.31,-0.854807637732033
26.32,-0.697801940668261
26.33,-0.572559855685409
26.34,-0.475636546685726
26.35,-0.402601953529562
26.36,-0.348999245827962
26.37,-0.310826599706567
26.38,-0.2847120538664
26.39,-0.267921056150114
26.4,-0.258287840922909
26.41,-0.254122020934205
26.42,-0.25411582724291
26.43,-0.257262596438347
26.44,-0.262789464754063
26.45,-0.270103717947006
26.46,-0.278750905704628
26.47,-0.288382537725056
26.48,-0.298731339142027
26.49,-0.309592359207786
26.5,-0.3208085629266
26.51,-0.332259835538852
26.52,-0.343854577946402
26.53,-0.355523267873366
26.54,-0.367213513679706
26.55,-0.378886243692472
26.56,-0.390512761548098
26.57,-0.402072463964188
26.58,-0.41355106686105
26.59,-0.424939222917242
26.6,-0.436231441576481
26.61,-0.44742524355972
26.62,-0.458520497819561
26.63,-0.469518900904007
26.64,-0.480423567836506
26.65,-0.491238710588955
26.66,-0.501969385557303
26.67,-0.512621295545303
26.68,-0.523200634918899
26.69,-0.533713969035953
26.7,-0.544168140951606
26.71,-0.554570199876719
26.72,-0.56492734702077
26.73,-0.57524689535606
26.74,-0.585536240552023
26.75,-0.595802840890199
26.76,-0.606054204415243
26.77,-0.61629788192997
26.78,-0.6265414647233
26.79,-0.636792586143744
26.8,-0.647058926310178
26.81,-0.657348219394929
26.82,-0.667668263029254
26.83,-0.678026929473911
26.84,-0.688432178271713
26.85,-0.698892070158971
26.86,-0.709414782060836
26.87,-0.72000862303424
26.88,-0.730682051053058
26.89,-0.741443690554822
26.9,-0.752302350687644
26.91,-0.763267044210946
26.92,-0.774347007015091
26.93,-0.785551718232778
26.94,-0.796890920920763
26.95,-0.808374643292734
26.96,-0.820013220484863
26.97,-0.831817316833473
26.98,-0.84379794863999
26.99,-0.855966507392164
27,-0.868334783401399
