"altura_interna_wr28 [mm]","cavidade_area_plana [mm2]","cavidade_comprimento_interno_exploratorio [mm]","cavidade_largura_interna_exploratoria [mm]","chanfro [mm]","comprimento_total_eixo_y [mm]","corpo_altura_externa [mm]","corpo_comprimento_externo [mm]","corpo_largura_externa_exploratoria [mm]","degrau_altura [mm]","degrau_largura [mm]","espessura_fundo_exploratoria [mm]","espessura_parede_lateral [mm]","espessura_tampa [mm]","flange_comprimento_exploratorio [mm]","flange_largura [mm]","fr4_dimensao_x [mm]","fr4_dimensao_y [mm]","fr4_epsilon_r_exploratorio []","fr4_tan_delta_exploratorio []","frequencia_adaptativa [GHz]","frequencia_sweep_fim [GHz]","frequencia_sweep_inicio [GHz]","largura_interna_wr28 [mm]","parafuso_diametro_exploratorio [mm]","pino_diametro [mm]","pino_offset_x_exploratorio [mm]","pino_offset_y_exploratorio [mm]","plano_porta_y [mm]","ranhura_comprimento [mm]","ranhura_largura [mm]","ranhura_passo_exploratorio [mm]","Freq [GHz]","PeakRealizedGain []"
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25,3.34326909000006
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.125,3.90675613526328
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.25,4.22658070442901
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.375,4.42086478190687
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.5,4.50459827787098
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.625,4.30000604884583
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.75,3.87896247961498
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,25.875,3.25884084945395
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,26,2.42311066305011
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,26.25,0.433795351636619
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,26.5,0.748074687340856
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,26.625,2.77854554189614
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,26.75,5.48201720417511
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,5.66,0.8,4,27,10.3583200867293
