"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainCoPolar) []","dB(GainCrossPolar) []"
25.65,90,-180,-8.1103254311298,-35.5902271776516
25.65,90,-178,-7.58800380352029,-36.3133015125652
25.65,90,-176,-7.51918929352795,-37.0092890717509
25.65,90,-174,-7.76370958136985,-37.1496658869162
25.65,90,-172,-8.20507676745175,-36.7771104004699
25.65,90,-170,-8.74191117966648,-36.3481229076996
25.65,90,-168,-9.29380233302414,-36.1844059136323
25.65,90,-166,-9.80996263860553,-36.3326271318186
25.65,90,-164,-10.266752188092,-36.5808854792899
25.65,90,-162,-10.6479764109755,-36.5285997589507
25.65,90,-160,-10.9159247759634,-35.9562217777541
25.65,90,-158,-10.9927807644719,-35.1305340613372
25.65,90,-156,-10.7830216735557,-34.465087177637
25.65,90,-154,-10.2510721014077,-34.1685780999424
25.65,90,-152,-9.48714780859808,-34.2291294884853
25.65,90,-150,-8.67209613096603,-34.5148869770916
25.65,90,-148,-7.98461523927155,-34.9327298026444
25.65,90,-146,-7.54613832829942,-35.5929675274684
25.65,90,-144,-7.41455943855407,-36.8195793203569
25.65,90,-142,-7.59592689733332,-39.0049777270592
25.65,90,-140,-8.05969043987137,-42.0047651207077
25.65,90,-138,-8.76160867074742,-42.5087402392776
25.65,90,-136,-9.67694462896721,-39.6303701576821
25.65,90,-134,-10.8190804354943,-37.3912072602605
25.65,90,-132,-12.1772411781376,-36.5253235273344
25.65,90,-130,-13.4753378409404,-36.9412675639228
25.65,90,-128,-13.9045487633539,-38.6065278561011
25.65,90,-126,-12.9745698475722,-41.5716290397123
25.65,90,-124,-11.4841096609072,-45.6814790148187
25.65,90,-122,-10.2735935103546,-49.5077775144804
25.65,90,-120,-9.65463300035069,-52.1240874863881
25.65,90,-118,-9.7013827775344,-58.8463704847504
25.65,90,-116,-10.4248284955633,-55.4148691116558
25.65,90,-114,-11.7755869711821,-45.9230912393331
25.65,90,-112,-13.4289298491268,-41.1814681025851
25.65,90,-110,-14.304572487935,-38.3977284290126
25.65,90,-108,-13.3946980313329,-36.7974191756219
25.65,90,-106,-11.6226188292302,-36.0295976533038
25.65,90,-104,-10.0758374618908,-35.8707013987542
25.65,90,-102,-9.07673336503318,-36.1238024289859
25.65,90,-100,-8.66193953171124,-36.5874180212567
25.65,90,-98,-8.82306614541731,-37.1030921970823
25.65,90,-96,-9.55697151949562,-37.6661087001803
25.65,90,-94,-10.8416556554991,-38.4781527431804
25.65,90,-92,-12.4985170460298,-39.887781018888
25.65,90,-90,-13.8253529726278,-42.2976078893155
25.65,90,-88,-13.7047081212479,-45.4401627271364
25.65,90,-86,-12.3278242884369,-44.9312649452326
25.65,90,-84,-10.8131690699965,-41.1028309900334
25.65,90,-82,-9.68239034544909,-38.2607738999267
25.65,90,-80,-9.00219107030841,-36.7496108628966
25.65,90,-78,-8.67654746019782,-36.4200990131889
25.65,90,-76,-8.51200125457446,-37.2408067722649
25.65,90,-74,-8.23255217284188,-39.1808308934221
25.65,90,-72,-7.59712053329494,-41.2535951694833
25.65,90,-70,-6.59281504602634,-40.390335812376
25.65,90,-68,-5.42579180072957,-37.7396761628952
25.65,90,-66,-4.31740361900444,-35.8662692533173
25.65,90,-64,-3.38591808402987,-35.1720007121969
25.65,90,-62,-2.6485304308558,-35.6424994030969
25.65,90,-60,-2.05385189785508,-37.3271469520894
25.65,90,-58,-1.5138703703093,-40.3470287105311
25.65,90,-56,-0.941022207991127,-44.2495180632308
25.65,90,-54,-0.28622192531439,-45.6511527807717
25.65,90,-52,0.445863830475931,-44.4559616951779
25.65,90,-50,1.21563651547392,-44.5531854274974
25.65,90,-48,1.98001360154993,-47.4324692846948
25.65,90,-46,2.71123106526076,-57.8558732454306
25.65,90,-44,3.39892304652018,-49.9914606288943
25.65,90,-42,4.04392988878387,-42.3111745073684
25.65,90,-40,4.65106309153684,-38.2592111244968
25.65,90,-38,5.2236340403755,-35.6553822955852
25.65,90,-36,5.76029636431448,-33.8913133890922
25.65,90,-34,6.25436867833903,-32.7424663838313
25.65,90,-32,6.69554094846441,-32.1362261905303
25.65,90,-30,7.07301894841526,-32.0816694831059
25.65,90,-28,7.3784480361814,-32.6577713430994
25.65,90,-26,7.60719495269729,-34.0435082383841
25.65,90,-24,7.75764097727894,-36.583729295422
25.65,90,-22,7.82934376366309,-40.4238568673627
25.65,90,-20,7.82163583553013,-40.4482759538955
25.65,90,-18,7.73415715481013,-35.4852714692675
25.65,90,-16,7.57007241910692,-31.6630072522035
25.65,90,-14,7.34169361510861,-29.1122012793193
25.65,90,-12,7.07708342632892,-27.4762104127971
25.65,90,-10,6.82446455555163,-26.5637597615942
25.65,90,-8,6.64870657579052,-26.2834601078765
25.65,90,-6,6.61396935785755,-26.5978119872899
25.65,90,-4,6.755631897652,-27.4962952355866
25.65,90,-2,7.06015107384087,-28.9609484468014
25.65,90,0,7.4706409048938,-30.8720182384913
25.65,90,2,7.91177650674307,-32.7659109829006
25.65,90,4,8.31285610353293,-33.7324024242181
25.65,90,6,8.61823087043696,-33.4811820104579
25.65,90,8,8.78811213194919,-32.8112466849147
25.65,90,10,8.79614880624153,-32.2974497578733
25.65,90,12,8.62789174770453,-31.9582392977638
25.65,90,14,8.28226484509448,-31.5760147800181
25.65,90,16,7.77775568106222,-31.0508442762051
