Theta[deg],Phi[deg],dB(GainTotal)
-180,-180,-6.92188
-178,-180,-7.01315
-176,-180,-7.34985
-174,-180,-7.87505
-172,-180,-8.47669
-170,-180,-9.02735
-168,-180,-9.45675
-166,-180,-9.80053
-164,-180,-10.172
-162,-180,-10.6891
-160,-180,-11.4113
-158,-180,-12.2977
-156,-180,-13.2006
-154,-180,-13.9422
-152,-180,-14.438
-150,-180,-14.6787
-148,-180,-14.6298
-146,-180,-14.3066
-144,-180,-13.8827
-142,-180,-13.5527
-140,-180,-13.3391
-138,-180,-13.0728
-136,-180,-12.5636
-134,-180,-11.7897
-132,-180,-10.8491
-130,-180,-9.79822
-128,-180,-8.63697
-126,-180,-7.39701
-124,-180,-6.17245
-122,-180,-5.07198
-120,-180,-4.17109
-118,-180,-3.50087
-116,-180,-3.05651
-114,-180,-2.80736
-112,-180,-2.70418
-110,-180,-2.68577
-108,-180,-2.68911
-106,-180,-2.66349
-104,-180,-2.58331
-102,-180,-2.45092
-100,-180,-2.28762
-98,-180,-2.11936
-96,-180,-1.96552
-94,-180,-1.83393
-92,-180,-1.72084
-90,-180,-1.61373
-88,-180,-1.49545
-86,-180,-1.34886
-84,-180,-1.16103
-82,-180,-0.925747
-80,-180,-0.643463
-78,-180,-0.319095
-76,-180,0.0411944
-74,-180,0.43242
-72,-180,0.851147
-70,-180,1.29339
-68,-180,1.75093
-66,-180,2.2081
-64,-180,2.64155
-62,-180,3.02382
-60,-180,3.32963
-58,-180,3.54251
-56,-180,3.6597
-54,-180,3.69418
-52,-180,3.67316
-50,-180,3.63225
-48,-180,3.6049
-46,-180,3.6102
-44,-180,3.64531
-42,-180,3.68875
-40,-180,3.71376
-38,-180,3.7039
-36,-180,3.6635
-34,-180,3.61902
-32,-180,3.61111
-30,-180,3.67927
-28,-180,3.84565
-26,-180,4.10724
-24,-180,4.44111
-22,-180,4.81731
-20,-180,5.21028
-18,-180,5.60412
-16,-180,5.99245
-14,-180,6.37465
-12,-180,6.75044
-10,-180,7.11451
-8,-180,7.45378
-6,-180,7.74855
-4,-180,7.97674
-2,-180,8.11918
0,-180,8.16368
2,-180,8.10721
4,-180,7.95596
6,-180,7.72361
8,-180,7.42832
10,-180,7.0892
12,-180,6.72336
14,-180,6.34426
16,-180,5.96136
18,-180,5.58055
20,-180,5.20538
22,-180,4.83956
24,-180,4.49114
26,-180,4.17668
28,-180,3.92167
30,-180,3.75323
32,-180,3.68541
34,-180,3.70622
36,-180,3.77785
38,-180,3.85205
40,-180,3.89038
42,-180,3.87773
44,-180,3.82457
46,-180,3.75827
48,-180,3.70724
50,-180,3.68458
52,-180,3.6802
54,-180,3.66515
56,-180,3.60392
58,-180,3.46687
60,-180,3.23827
62,-180,2.91901
64,-180,2.52489
66,-180,2.08148
68,-180,1.61677
70,-180,1.15419
72,-180,0.708633
74,-180,0.28705
76,-180,-0.10765
78,-180,-0.472425
80,-180,-0.801947
82,-180,-1.08917
84,-180,-1.32792
86,-180,-1.51598
88,-180,-1.65746
90,-180,-1.76303
92,-180,-1.84816
94,-180,-1.92947
96,-180,-2.02038
98,-180,-2.12669
100,-180,-2.24337
102,-180,-2.35414
104,-180,-2.4365
106,-180,-2.47307
108,-180,-2.46597
110,-180,-2.445
112,-180,-2.46353
114,-180,-2.5847
116,-180,-2.86689
118,-180,-3.35396
120,-180,-4.07028
122,-180,-5.01809
124,-180,-6.17577
126,-180,-7.49719
128,-180,-8.91159
130,-180,-10.3198
132,-180,-11.5833
134,-180,-12.5289
136,-180,-13.0268
138,-180,-13.1151
140,-180,-12.9988
142,-180,-12.9001
144,-180,-12.9375
146,-180,-13.0982
148,-180,-13.2747
150,-180,-13.3555
152,-180,-13.3032
154,-180,-13.1287
156,-180,-12.8164
158,-180,-12.3326
160,-180,-11.6997
162,-180,-11.0072
164,-180,-10.3464
166,-180,-9.76184
168,-180,-9.24989
170,-180,-8.77922
172,-180,-8.31494
174,-180,-7.84617
176,-180,-7.40705
178,-180,-7.07155
180,-180,-6.92188
-180,-178,-6.92188
-178,-178,-7.04104
-176,-178,-7.41116
-174,-178,-7.98023
-172,-178,-8.63826
-170,-178,-9.25415
-168,-178,-9.74759
-166,-178,-10.1432
-164,-178,-10.5481
-162,-178,-11.0775
-160,-178,-11.7862
-158,-178,-12.6203
-156,-178,-13.4179
-154,-178,-14.0114
-152,-178,-14.358
-150,-178,-14.4879
-148,-178,-14.3756
-146,-178,-14.0129
-144,-178,-13.5327
-142,-178,-13.1042
-140,-178,-12.7628
-138,-178,-12.4003
-136,-178,-11.8987
-134,-178,-11.2442
-132,-178,-10.4824
-130,-178,-9.61919
-128,-178,-8.62459
-126,-178,-7.51131
-124,-178,-6.3643
-122,-178,-5.29354
-120,-178,-4.38218
-118,-178,-3.67101
-116,-178,-3.16507
-114,-178,-2.84338
-112,-178,-2.66581
-110,-178,-2.57886
-108,-178,-2.52438
-106,-178,-2.45237
-104,-178,-2.33407
-102,-178,-2.16733
-100,-178,-1.97049
-98,-178,-1.76943
-96,-178,-1.58588
-94,-178,-1.43142
-92,-178,-1.30651
-90,-178,-1.20259
-88,-178,-1.10545
-86,-178,-0.999041
-84,-178,-0.868795
-82,-178,-0.703796
-80,-178,-0.497304
-78,-178,-0.245832
-76,-178,0.0522218
-74,-178,0.397085
-72,-178,0.786427
-70,-178,1.21271
-68,-178,1.66059
-66,-178,2.1063
-64,-178,2.52036
-62,-178,2.87288
-60,-178,3.13993
-58,-178,3.30887
-56,-178,3.38168
-54,-178,3.37588
-52,-178,3.32216
-50,-178,3.25821
-48,-178,3.21834
-46,-178,3.22167
-44,-178,3.26517
-42,-178,3.32766
-40,-178,3.38315
-38,-178,3.41615
-36,-178,3.43075
-34,-178,3.45072
-32,-178,3.51085
-30,-178,3.64286
-28,-178,3.86205
-26,-178,4.16225
-24,-178,4.52144
-22,-178,4.91274
-20,-178,5.31363
-18,-178,5.71008
-16,-178,6.09645
-14,-178,6.4724
-12,-178,6.83811
-10,-178,7.18919
-8,-178,7.51377
-6,-178,7.79326
-4,-178,8.00629
-2,-178,8.13388
0,-178,8.16368
2,-178,8.09238
4,-178,7.9261
6,-178,7.67888
8,-178,7.36964
10,-178,7.01848
12,-178,6.64336
14,-178,6.25821
16,-178,5.87261
18,-178,5.49265
20,-178,5.12278
22,-178,4.76874
24,-178,4.44171
26,-178,4.16183
28,-178,3.957
30,-178,3.85307
32,-178,3.85761
34,-178,3.94855
36,-178,4.07877
38,-178,4.195
40,-178,4.25823
42,-178,4.25539
44,-178,4.1995
46,-178,4.11975
48,-178,4.04531
50,-178,3.98984
52,-178,3.94472
54,-178,3.88389
56,-178,3.77565
58,-178,3.5942
60,-178,3.3269
62,-178,2.97636
64,-178,2.55818
66,-178,2.09518
68,-178,1.6101
70,-178,1.11963
72,-178,0.632418
74,-178,0.15172
76,-178,-0.319648
78,-178,-0.775107
80,-178,-1.20287
82,-178,-1.58759
84,-178,-1.91434
86,-178,-2.17331
88,-178,-2.36354
90,-178,-2.49396
92,-178,-2.5814
94,-178,-2.64592
96,-178,-2.70523
98,-178,-2.76929
100,-178,-2.83642
102,-178,-2.89261
104,-178,-2.91627
106,-178,-2.88979
108,-178,-2.81438
110,-178,-2.71939
112,-178,-2.65911
114,-178,-2.69936
116,-178,-2.90276
118,-178,-3.31869
120,-178,-3.9779
122,-178,-4.88962
124,-178,-6.03974
126,-178,-7.39081
128,-178,-8.88269
130,-178,-10.4236
132,-178,-11.8549
134,-178,-12.9218
136,-178,-13.3978
138,-178,-13.3501
140,-178,-13.1113
142,-178,-12.9774
144,-178,-13.0597
146,-178,-13.2962
148,-178,-13.5162
150,-178,-13.5609
152,-178,-13.3939
154,-178,-13.0663
156,-178,-12.6086
158,-178,-12.0204
160,-178,-11.3344
162,-178,-10.6307
164,-178,-9.98693
166,-178,-9.43863
168,-178,-8.97633
170,-178,-8.56282
172,-178,-8.15664
174,-178,-7.74062
176,-178,-7.34489
178,-178,-7.04337
180,-178,-6.92188
-180,-176,-6.92188
-178,-176,-7.06934
-176,-176,-7.47403
-174,-176,-8.08912
-172,-176,-8.80738
-170,-176,-9.49478
-168,-176,-10.0608
-166,-176,-10.5173
-164,-176,-10.9629
-162,-176,-11.5092
-160,-176,-12.205
-158,-176,-12.9841
-156,-176,-13.6722
-154,-176,-14.1109
-152,-176,-14.2866
-150,-176,-14.2505
-148,-176,-13.9896
-146,-176,-13.5029
-144,-176,-12.9078
-142,-176,-12.3491
-140,-176,-11.8699
-138,-176,-11.417
-136,-176,-10.9345
-134,-176,-10.4172
-132,-176,-9.87205
-130,-176,-9.26285
-128,-176,-8.52465
-126,-176,-7.6342
-124,-176,-6.64805
-122,-176,-5.66715
-120,-176,-4.78197
-118,-176,-4.0478
-116,-176,-3.48557
-114,-176,-3.08951
-112,-176,-2.8333
-110,-176,-2.67521
-108,-176,-2.56519
-106,-176,-2.45598
-104,-176,-2.31569
-102,-176,-2.13542
-100,-176,-1.9271
-98,-176,-1.71328
-96,-176,-1.51589
-94,-176,-1.34919
-92,-176,-1.21745
-90,-176,-1.11605
-88,-176,-1.03407
-86,-176,-0.957163
-84,-176,-0.870053
-82,-176,-0.7582
-80,-176,-0.608472
-78,-176,-0.409351
-76,-176,-0.151639
-74,-176,0.16949
-72,-176,0.551231
-70,-176,0.980253
-68,-176,1.43227
-66,-176,1.87517
-64,-176,2.2747
-62,-176,2.601
-60,-176,2.8339
-58,-176,2.96652
-56,-176,3.0068
-54,-176,2.97699
-52,-176,2.91046
-50,-176,2.84536
-48,-176,2.81483
-46,-176,2.83636
-44,-176,2.90614
-42,-176,3.00345
-40,-176,3.10365
-38,-176,3.19191
-36,-176,3.27085
-34,-176,3.35961
-32,-176,3.48587
-30,-176,3.67399
-28,-176,3.93463
-26,-176,4.26126
-24,-176,4.63483
-22,-176,5.0325
-20,-176,5.43477
-18,-176,5.82906
-16,-176,6.20993
-14,-176,6.57696
-12,-176,6.93053
-10,-176,7.26703
-8,-176,7.57571
-6,-176,7.83903
-4,-176,8.0363
-2,-176,8.1487
0,-176,8.16368
2,-176,8.0777
4,-176,7.89687
6,-176,7.63563
8,-176,7.31371
10,-176,6.95227
12,-176,6.57017
14,-176,6.18185
16,-176,5.797
18,-176,5.42197
20,-176,5.06224
22,-176,4.72576
24,-176,4.42683
26,-176,4.18848
28,-176,4.03912
30,-176,4.00053
32,-176,4.07167
34,-176,4.22063
36,-176,4.39362
38,-176,4.53558
40,-176,4.60912
42,-176,4.60391
44,-176,4.53506
46,-176,4.43257
48,-176,4.3255
50,-176,4.22781
52,-176,4.13281
54,-176,4.01832
56,-176,3.85745
58,-176,3.62891
60,-176,3.32317
62,-176,2.94378
64,-176,2.50455
66,-176,2.02358
68,-176,1.5167
70,-176,0.993267
72,-176,0.45641
74,-176,-0.0929111
76,-176,-0.650648
78,-176,-1.20598
80,-176,-1.74066
82,-176,-2.23146
84,-176,-2.65525
86,-176,-2.995
88,-176,-3.24475
90,-176,-3.41143
92,-176,-3.51245
94,-176,-3.57017
96,-176,-3.60506
98,-176,-3.62949
100,-176,-3.64359
102,-176,-3.6349
104,-176,-3.58398
106,-176,-3.4765
108,-176,-3.31777
110,-176,-3.14081
112,-176,-3.00199
